name,volume,image_url
based punks,$7.8k,"https://dappradar.com/image-resizer/width=64,quality=100/https://lh3.googleusercontent.com/Q0WeGy-DOK2kSbeuNaqqmB5cs6NwonZMfYsg1tUtxcGhzBFDSJ7JzboWhNqY9W7O2S03N_ov-Vh3hsuVhjXzwsiUIg5vWRBJZA"
based punks,$7.4k,"https://dappradar.com/image-resizer/width=64,quality=100/https://lh3.googleusercontent.com/Q0WeGy-DOK2kSbeuNaqqmB5cs6NwonZMfYsg1tUtxcGhzBFDSJ7JzboWhNqY9W7O2S03N_ov-Vh3hsuVhjXzwsiUIg5vWRBJZA"
based punks,$7.4k,"https://dappradar.com/image-resizer/width=64,quality=100/https://lh3.googleusercontent.com/Q0WeGy-DOK2kSbeuNaqqmB5cs6NwonZMfYsg1tUtxcGhzBFDSJ7JzboWhNqY9W7O2S03N_ov-Vh3hsuVhjXzwsiUIg5vWRBJZA"
based punks,$7.4k,"https://dappradar.com/image-resizer/width=64,quality=100/https://lh3.googleusercontent.com/Q0WeGy-DOK2kSbeuNaqqmB5cs6NwonZMfYsg1tUtxcGhzBFDSJ7JzboWhNqY9W7O2S03N_ov-Vh3hsuVhjXzwsiUIg5vWRBJZA"
based punks,$7.4k,"https://dappradar.com/image-resizer/width=64,quality=100/https://lh3.googleusercontent.com/Q0WeGy-DOK2kSbeuNaqqmB5cs6NwonZMfYsg1tUtxcGhzBFDSJ7JzboWhNqY9W7O2S03N_ov-Vh3hsuVhjXzwsiUIg5vWRBJZA"
onchain gaias,$7.43k,"https://dappradar.com/image-resizer/width=64,quality=100/https://lh3.googleusercontent.com/ELbBtXJhcE6c4Ik9NdCargAavJDv6f2OKFupmBJe8I5fcsqYpnN33pEArjWOpIIQvTsLy2ZKDR97puyoUjZAyt-MejVcMFBLIG0"
Metawin Tokenized Cybertruck,$0,"https://dappradar.com/image-resizer/width=64,quality=100/https://lh3.googleusercontent.com/XQJKpHFw_1pbr64kNOPZ2n8yPV2kIEvJNkxOw_SutTpoR_debHPWnsZ1Th4DW8saaLYVNLQ1673Cyd3YS5Gwx2CUeBSbfbnM5RQ"
